dataset	similar_to	granularity	similarity
Md	Md	0	1.0
Po	Md	0	0.0825466439127922
Ni	Md	0	0.115834541618824
Ib	Md	0	0.07653558999300003
Wm	Md	0	0.12579675018787384
De	Md	0	0.08733135461807251
So	Md	0	0.10107403248548508
Hc	Md	0	0.1536610871553421
Md	Hc	0	0.1536610871553421
Po	Hc	0	0.03401969373226166
Ni	Hc	0	0.11812011897563934
Ib	Hc	0	0.08607137948274612
Wm	Hc	0	0.16629374027252197
De	Hc	0	0.07984631508588791
So	Hc	0	0.01221920270472765
Hc	Hc	0	1.0
Md	Md	1	0.4417789876461029
Po	Md	1	0.0800795927643776
Ni	Md	1	0.09939774125814438
Ib	Md	1	0.1073630228638649
Wm	Md	1	0.13326814770698547
De	Md	1	0.11802497506141663
So	Md	1	0.10083077102899551
Hc	Md	1	0.15388242900371552
Md	Hc	1	0.11629606783390045
Po	Hc	1	0.04965341091156006
Ni	Hc	1	0.08547612279653549
Ib	Hc	1	0.0750095397233963
Wm	Hc	1	0.10441815853118896
De	Hc	1	0.07813161611557007
So	Hc	1	0.029990805312991142
Hc	Hc	1	0.5568605661392212
Md	Md	2	0.34630024433135986
Po	Md	2	0.06837335973978043
Ni	Md	2	0.12524373829364777
Ib	Md	2	0.0838346853852272
Wm	Md	2	0.12719844281673431
De	Md	2	0.14830109477043152
So	Md	2	0.08253856003284454
Hc	Md	2	0.1284625381231308
Md	Hc	2	0.09216752648353577
Po	Hc	2	0.03665698692202568
Ni	Hc	2	0.1660573035478592
Ib	Hc	2	0.06470189243555069
Wm	Hc	2	0.07799381762742996
De	Hc	2	0.09511300176382065
So	Hc	2	0.028705967590212822
Hc	Hc	2	0.3951863646507263
Md	Md	3	0.3269435167312622
Po	Md	3	0.05914337560534477
Ni	Md	3	0.10377451032400131
Ib	Md	3	0.09372805804014206
Wm	Md	3	0.12477149814367294
De	Md	3	0.14253194630146027
So	Md	3	0.0747462585568428
Hc	Md	3	0.12180978804826736
Md	Hc	3	0.08983594924211502
Po	Hc	3	0.03568786010146141
Ni	Hc	3	0.0875229686498642
Ib	Hc	3	0.042842816561460495
Wm	Hc	3	0.06098691001534462
De	Hc	3	0.09909170866012573
So	Hc	3	0.02320888638496399
Hc	Hc	3	0.2701094150543213
Md	Md	4	0.2286316156387329
Po	Md	4	0.04558250680565834
Ni	Md	4	0.07431046664714813
Ib	Md	4	0.05575793236494064
Wm	Md	4	0.08818201720714569
De	Md	4	0.11276163160800934
So	Md	4	0.061475515365600586
Hc	Md	4	0.11343345791101456
Md	Hc	4	0.05930263549089432
Po	Hc	4	0.024012679234147072
Ni	Hc	4	0.057657692581415176
Ib	Hc	4	0.021165551617741585
Wm	Hc	4	0.029588690027594566
De	Hc	4	0.07164455205202103
So	Hc	4	0.025316618382930756
Hc	Hc	4	0.19545984268188477
Md	Md	5	0.4417789876461029
Po	Md	5	0.07148073613643646
Ni	Md	5	0.09952510893344879
Ib	Md	5	0.06654543429613113
Wm	Md	5	0.09811397641897202
De	Md	5	0.059711553156375885
So	Md	5	0.09489738941192627
Hc	Md	5	0.11629606783390045
Md	Hc	5	0.15388242900371552
Po	Hc	5	0.04692307114601135
Ni	Hc	5	0.11960801482200623
Ib	Hc	5	0.09120538830757141
Wm	Hc	5	0.1385280340909958
De	Hc	5	0.06877028197050095
So	Hc	5	0.018461152911186218
Hc	Hc	5	0.5568605661392212
Md	Md	6	1.0
Po	Md	6	0.0829710066318512
Ni	Md	6	0.09809239208698273
Ib	Md	6	0.09709598124027252
Wm	Md	6	0.11496688425540924
De	Md	6	0.09598854929208755
So	Md	6	0.103592649102211
Hc	Md	6	0.12561847269535065
Md	Hc	6	0.12561847269535065
Po	Hc	6	0.05722052976489067
Ni	Hc	6	0.09305757284164429
Ib	Hc	6	0.08410492539405823
Wm	Hc	6	0.09214815497398376
De	Hc	6	0.09517928212881088
So	Hc	6	0.03824497386813164
Hc	Hc	6	1.0
Md	Md	7	0.45808690786361694
Po	Md	7	0.08193151652812958
Ni	Md	7	0.1134614422917366
Ib	Md	7	0.09100832045078278
